date	cantidad	acumulado
2017-05-12 12:33:55	0.16322	0.16322
2017-05-12 18:06:14	0.17125	0.33446
2017-05-12 18:09:21	0.15622	0.49068
2017-05-12 18:34:22	0.30040	0.79108
2017-05-12 20:23:52	0.18229	0.97337
2017-05-12 20:30:28	0.17345	1.14682
2017-05-12 21:44:16	0.01211	1.15894
2017-05-12 21:47:12	0.17343	1.33237
2017-05-12 23:05:14	0.17938	1.51174
2017-05-13 01:00:50	0.18040	1.69214
2017-05-13 01:20:28	0.00001	1.69215
2017-05-13 02:09:41	0.18276	1.87492
2017-05-13 03:46:31	0.36000	2.23492
2017-05-13 05:05:14	0.18010	2.41502
2017-05-13 06:45:20	0.19000	2.60502
2017-05-13 07:04:14	0.00574	2.61076
2017-05-13 07:12:09	1.99900	4.60976
2017-05-13 08:54:40	0.17400	4.78376
2017-05-13 10:14:26	0.16894	4.95271
2017-05-13 10:38:22	0.16657	5.11927
2017-05-13 11:45:20	0.16900	5.28827
2017-05-13 11:58:16	0.17150	5.45977
2017-05-13 12:30:17	0.17354	5.63332
2017-05-13 12:39:57	0.17030	5.80362
2017-05-13 13:24:19	0.00100	5.80462
2017-05-13 14:08:25	0.18404	5.98865
2017-05-13 14:29:35	0.00010	5.98875
2017-05-13 14:29:55	0.17800	6.16675
2017-05-13 14:30:49	0.00010	6.16685
2017-05-13 14:32:26	0.00010	6.16695
2017-05-13 14:33:25	0.00010	6.16705
2017-05-13 14:34:32	0.00010	6.16715
2017-05-13 14:55:17	0.00468	6.17184
2017-05-13 15:08:55	0.18016	6.35200
2017-05-13 15:15:22	0.00460	6.35660
2017-05-13 15:41:01	0.17600	6.53260
2017-05-13 16:21:27	0.02000	6.55260
2017-05-13 16:24:21	0.25321	6.80581
2017-05-14 01:58:17	0.16723	6.97304
2017-05-14 02:15:50	0.33600	7.30904
2017-05-14 03:32:31	0.00002	7.30906
2017-05-14 05:26:44	0.16145	7.47050
2017-05-14 06:46:17	0.17888	7.64938
2017-05-14 10:00:56	0.14860	7.79798
2017-05-14 10:00:56	0.32000	8.11798
2017-05-14 10:49:12	0.15500	8.27298
2017-05-14 12:14:32	0.17190	8.44488
2017-05-14 12:55:15	0.16539	8.61028
2017-05-14 14:08:21	0.17100	8.78128
2017-05-14 15:49:39	0.17780	8.95907
2017-05-14 21:30:31	0.10707	9.06615
2017-05-14 21:39:12	0.17315	9.23930
2017-05-15 01:34:12	0.00769	9.24699
2017-05-15 02:24:23	0.16760	9.41458
2017-05-15 04:01:49	0.34132	9.75590
2017-05-15 04:45:29	0.00020	9.75610
2017-05-15 05:46:38	0.16959	9.92569
2017-05-15 07:35:14	0.16958	10.09527
2017-05-15 07:49:06	0.16765	10.26292
2017-05-15 08:18:28	0.17952	10.44244
2017-05-15 08:41:03	0.18205	10.62448
2017-05-15 09:42:09	0.17352	10.79800
2017-05-15 09:45:27	0.17428	10.97228
2017-05-15 10:11:09	0.17836	11.15064
2017-05-15 10:20:13	0.16706	11.31770
2017-05-15 10:28:30	0.15000	11.46770
2017-05-15 12:21:23	0.00004	11.46774
2017-05-15 13:33:48	0.18764	11.65537
2017-05-15 14:00:46	0.00007	11.65545
2017-05-15 15:57:10	0.00115	11.65659
2017-05-15 16:35:21	0.17442	11.83101
2017-05-15 17:30:20	0.18600	12.01701
2017-05-15 17:41:37	0.00005	12.01706
2017-05-15 17:43:28	0.00001	12.01707
2017-05-15 18:45:31	0.35000	12.36707
2017-05-15 18:45:37	0.34219	12.70926
2017-05-15 18:59:53	0.00321	12.71246
2017-05-15 20:25:14	0.00400	12.71646
2017-05-16 01:22:53	0.00025	12.71672
2017-05-16 06:41:28	0.34000	13.05672
2017-05-16 06:47:00	0.17825	13.23497
2017-05-16 07:40:44	0.36950	13.60447
2017-05-16 12:23:10	0.17576	13.78022
2017-05-16 13:33:14	0.16992	13.95014
2017-05-16 15:28:35	0.17302	14.12316
2017-05-16 17:39:58	0.34172	14.46488
2017-05-16 19:15:51	0.17075	14.63563
2017-05-16 21:15:21	0.34500	14.98063
2017-05-16 23:34:25	0.00013	14.98076
2017-05-16 23:35:04	0.00013	14.98090
2017-05-17 00:35:15	0.17205	15.15294
2017-05-17 04:30:37	0.00290	15.15584
2017-05-17 04:48:49	0.33344	15.48929
2017-05-17 08:18:31	0.37620	15.86549
2017-05-17 10:01:19	0.16743	16.03291
2017-05-18 03:35:13	0.00494	16.03785
2017-05-18 04:59:35	0.00006	16.03791
2017-05-18 15:34:13	0.01322	16.05113
2017-05-18 20:09:19	0.34000	16.39113
2017-05-19 03:49:32	0.00010	16.39123
2017-05-19 04:45:15	0.31614	16.70737
2017-05-19 09:16:06	0.16102	16.86839
2017-05-22 20:27:25	0.00050	16.86888
2017-05-23 12:50:16	0.14000	17.00889
2017-05-29 09:06:39	0.13643	17.14532
2017-06-06 05:51:24	0.10744	17.25276
2017-06-13 08:51:31	0.11000	17.36276
2017-06-16 04:33:00	0.00053	17.36329
2017-06-16 06:50:05	0.12300	17.48629
2017-06-27 12:22:05	0.03274	17.51903
2017-06-28 09:50:22	0.03620	17.55523
2017-07-24 14:07:34	0.21590	17.77113
